date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:20:57	62455/62455	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:08%20GMT	https://travl.dexignlab.com/xhtml/ecom-product-detail.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/ecom-product-detail.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:20:58	94896/94896	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:08%20GMT	https://travl.dexignlab.com/xhtml/ecom-product-order.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/ecom-product-order.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:20:58	68726/68726	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:10%20GMT	https://travl.dexignlab.com/xhtml/ecom-checkout.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/ecom-checkout.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:20:58	60680/60680	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:10%20GMT	https://travl.dexignlab.com/xhtml/ecom-invoice.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/ecom-invoice.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:20:58	107538/107538	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:10%20GMT	https://travl.dexignlab.com/xhtml/ecom-customers.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/ecom-customers.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:20:58	58347/58347	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:10%20GMT	https://travl.dexignlab.com/xhtml/chart-flot.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/chart-flot.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:20:59	56598/56598	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:10%20GMT	https://travl.dexignlab.com/xhtml/chart-morris.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/chart-morris.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:20:59	61047/61047	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:10%20GMT	https://travl.dexignlab.com/xhtml/chart-chartjs.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/chart-chartjs.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:20:59	66287/66287	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:10%20GMT	https://travl.dexignlab.com/xhtml/chart-chartist.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/chart-chartist.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:20:59	58014/58014	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:10%20GMT	https://travl.dexignlab.com/xhtml/chart-sparkline.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/chart-sparkline.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:21:00	66262/66262	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:10%20GMT	https://travl.dexignlab.com/xhtml/chart-peity.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/chart-peity.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:21:00	93889/93889	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:08%20GMT	https://travl.dexignlab.com/xhtml/ui-accordion.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/ui-accordion.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:21:00	135393/135393	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:08%20GMT	https://travl.dexignlab.com/xhtml/ui-alert.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/ui-alert.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:21:00	70347/70347	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:08%20GMT	https://travl.dexignlab.com/xhtml/ui-badge.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/ui-badge.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:21:02	82637/82637	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:08%20GMT	https://travl.dexignlab.com/xhtml/ui-button.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/ui-button.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:21:02	72797/72797	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:10%20GMT	https://travl.dexignlab.com/xhtml/ui-modal.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/ui-modal.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:21:02	62673/62673	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:08%20GMT	https://travl.dexignlab.com/xhtml/ui-button-group.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/ui-button-group.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:21:02	70876/70876	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:10%20GMT	https://travl.dexignlab.com/xhtml/ui-list-group.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/ui-list-group.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:21:02	66580/66580	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:08%20GMT	https://travl.dexignlab.com/xhtml/ui-card.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/ui-card.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:21:02	64978/64978	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:08%20GMT	https://travl.dexignlab.com/xhtml/ui-carousel.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/ui-carousel.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:21:03	89679/89679	---M--	200	added ('OK')	text/html	date:Thu,%2012%20Aug%202021%2011:01:30%20GMT	https://travl.dexignlab.com/xhtml/ui-dropdown.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/ui-dropdown.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:21:03	56056/56056	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:10%20GMT	https://travl.dexignlab.com/xhtml/ui-popover.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/ui-popover.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:21:04	83289/83289	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:10%20GMT	https://travl.dexignlab.com/xhtml/ui-tab.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/ui-tab.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:21:04	74660/74660	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:10%20GMT	https://travl.dexignlab.com/xhtml/ui-progressbar.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/ui-progressbar.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:21:04	67363/67363	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:10%20GMT	https://travl.dexignlab.com/xhtml/ui-typography.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/ui-typography.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:21:04	72285/72285	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:10%20GMT	https://travl.dexignlab.com/xhtml/ui-pagination.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/ui-pagination.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:21:04	61503/61503	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:10%20GMT	https://travl.dexignlab.com/xhtml/ui-grid.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/ui-grid.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:21:05	91727/91727	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:08%20GMT	https://travl.dexignlab.com/xhtml/uc-select2.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/uc-select2.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:21:05	63452/63452	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:08%20GMT	https://travl.dexignlab.com/xhtml/uc-nestable.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/uc-nestable.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:21:05	60907/60907	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:08%20GMT	https://travl.dexignlab.com/xhtml/uc-sweetalert.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/uc-sweetalert.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:21:05	83080/83080	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:08%20GMT	https://travl.dexignlab.com/xhtml/uc-noui-slider.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/uc-noui-slider.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:21:06	54969/54969	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:08%20GMT	https://travl.dexignlab.com/xhtml/uc-toastr.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/uc-toastr.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:21:06	54002/54002	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:08%20GMT	https://travl.dexignlab.com/xhtml/map-jqvmap.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/map-jqvmap.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
12:21:06	54985/54985	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Aug%202021%2016:21:08%20GMT	https://travl.dexignlab.com/xhtml/uc-lightgallery.html	C:/My%20Web%20Sites/adminkss/travl.dexignlab.com/xhtml/uc-lightgallery.html	(from https://travl.dexignlab.com/xhtml/index-2.html)
